what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.adobe.flexide.externaleditors,4.0.1.277662,com.adobe.flexide.externaleditors,1323163460775
stopped,bundle,com.adobe.flexide.editorcore,4.0.1.277662,com.adobe.flexide.editorcore,1323163460775
stopped,bundle,com.adobe.flexbuilder.mxmlmodel,4.0.1.277662,com.adobe.flexbuilder.mxmlmodel,1323163460775
stopped,bundle,com.adobe.flexide.launching,4.0.1.277662,com.adobe.flexide.launching,1323163460775
stopped,bundle,com.adobe.flexbuilder.codemodel,4.0.1.277662,com.adobe.flexbuilder.codemodel,1323163460775
stopped,bundle,com.adobe.flash.codemodel.core,4.0.1.277662,com.adobe.flash.codemodel.core,1323163460775
stopped,bundle,com.adobe.flash.codemodel.osgi,4.0.1.277662,com.adobe.flash.codemodel.osgi,1323163460775
stopped,bundle,com.adobe.flexbuilder.services.HTTPService,4.0.1.277662,com.adobe.flexbuilder.services.HTTPService,1323163460775
stopped,bundle,com.adobe.flexbuilder.services.PHPService,4.0.1.277662,com.adobe.flexbuilder.services.PHPService,1323163460775
stopped,bundle,com.adobe.flexbuilder.services.StaticContentService,4.0.1.277662,com.adobe.flexbuilder.services.StaticContentService,1323163460775
stopped,bundle,com.adobe.flexbuilder.DCDService,4.0.1.277662,com.adobe.flexbuilder.DCDService,1323163460775
stopped,bundle,com.adobe.flexbuilder.axis2,4.0.1.277662,com.adobe.flexbuilder.axis2,1323163460775
stopped,bundle,com.adobe.flexbuilder.dcrad.derived,4.0.1.277662,com.adobe.flexbuilder.dcrad.derived,1323163460776
stopped,bundle,com.adobe.flexbuilder.multisdk,4.0.1.277662,com.adobe.flexbuilder.multisdk,1323163460776
stopped,bundle,com.adobe.flexbuilder.ui,4.0.1.277662,com.adobe.flexbuilder.ui,1323163460776
stopped,bundle,com.adobe.flexide.playerview,4.0.1.277662,com.adobe.flexide.playerview,1323163460776
stopped,bundle,com.adobe.flexide.embeddedplayer,4.0.1.277662,com.adobe.flexide.embeddedplayer,1323163460776
stopped,bundle,com.adobe.flexbuilder.project,4.0.1.277662,com.adobe.flexbuilder.project,1323163460786
stopped,bundle,com.adobe.flexbuilder.editors.derived,4.0.1.277662,com.adobe.flexbuilder.editors.derived,1323163460786
stopped,bundle,com.adobe.flexbuilder.flexunit.derived,4.0.1.277662,com.adobe.flexbuilder.flexunit.derived,1323163460786
stopped,bundle,com.adobe.flexbuilder.help,4.0.1.277662,com.adobe.flexbuilder.help,1323163460786
stopped,bundle,com.adobe.flexbuilder.json,4.0.1.277662,com.adobe.flexbuilder.json,1323163460787
stopped,bundle,com.adobe.flexbuilder.services.WEBService.derived,4.0.1.277662,com.adobe.flexbuilder.services.WEBService.derived,1323163460787
stopped,bundle,com.adobe.flexide.amt,4.0.1.277662,com.adobe.flexide.amt,1323163460787
stopped,bundle,com.adobe.flexide.communityhelp,4.0.1.277662,com.adobe.flexide.communityhelp,1323163460787
