what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.intro.universal,3.2.200.v20080508,org.eclipse.ui.intro.universal,1323162855176
started,bundle,org.eclipse.ui.net,1.0.0.I20080605,org.eclipse.ui.net,1323162855176
started,bundle,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views,1323162855176
started,bundle,org.eclipse.ui.workbench,3.4.2.M20090127-1700,org.eclipse.ui.workbench,1323162855176
started,bundle,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.workbench.texteditor,1323162855176
started,bundle,org.eclipse.update.configurator,3.2.201.R34x_v20080819,org.eclipse.update.configurator,1323162855177
started,bundle,org.eclipse.update.core,3.2.202.R34x_v20081128,org.eclipse.update.core,1323162855177
started,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1323162855177
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1323162864705
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1323162908956
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1323162908972
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1323162912653
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1323163453434
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1323163456502
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1323163458064
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1323163458133
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1323163458142
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1323163458395
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1323163458574
stopped,bundle,com.adobe.flexbuilder.services.CFService,4.0.1.277662,com.adobe.flexbuilder.services.CFService,1323163460600
stopped,bundle,com.adobe.flexbuilder.services.BlazeDSService,4.0.1.277662,com.adobe.flexbuilder.services.BlazeDSService,1323163460600
stopped,bundle,com.adobe.flexbuilder.services.LCDSService,4.0.1.277662,com.adobe.flexbuilder.services.LCDSService,1323163460600
stopped,bundle,com.adobe.flexbuilder.services.WEBService,4.0.1.277662,com.adobe.flexbuilder.services.WEBService,1323163460600
stopped,bundle,com.adobe.flexbuilder.services.J2EEService,4.0.1.277662,com.adobe.flexbuilder.services.J2EEService,1323163460600
stopped,bundle,com.adobe.coldfusion.rds.client,1.0.272885,com.adobe.coldfusion.rds.client,1323163460600
